Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,01/04/2021 17:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,2 - 3
2,1,01/04/2021 17:10,Comerica Park,Detroit Tigers,Cleveland Indians,3 - 2
3,1,01/04/2021 18:10,American Family Field,Milwaukee Brewers,Minnesota Twins,6 - 5
4,1,01/04/2021 18:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,3 - 5
5,1,01/04/2021 19:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,3 - 2
6,1,01/04/2021 20:10,Coors Field,Colorado Rockies,Los Angeles Dodgers,8 - 5
7,1,01/04/2021 20:10,Petco Park,San Diego Padres,Arizona Diamondbacks,8 - 7
8,1,01/04/2021 20:10,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,6 - 11
9,1,01/04/2021 20:10,Kauffman Stadium,Kansas City Royals,Texas Rangers,14 - 10
10,1,01/04/2021 20:10,loanDepot park,Miami Marlins,Tampa Bay Rays,0 - 1
11,1,02/04/2021 02:05,Angel Stadium,Los Angeles Angels,Chicago White Sox,4 - 3
12,1,02/04/2021 02:07,Oakland Coliseum,Oakland Athletics,Houston Astros,1 - 8
13,1,02/04/2021 02:10,T-Mobile Park,Seattle Mariners,San Francisco Giants,8 - 7
14,1,02/04/2021 18:10,Fenway Park,Boston Red Sox,Baltimore Orioles,0 - 3
15,1,02/04/2021 23:10,loanDepot park,Miami Marlins,Tampa Bay Rays,4 - 6
16,1,03/04/2021 00:40,Coors Field,Colorado Rockies,Los Angeles Dodgers,6 - 11
17,1,03/04/2021 01:38,Angel Stadium,Los Angeles Angels,Chicago White Sox,8 - 12
18,1,03/04/2021 01:40,Oakland Coliseum,Oakland Athletics,Houston Astros,5 - 9
19,1,03/04/2021 02:10,Petco Park,San Diego Padres,Arizona Diamondbacks,4 - 2
20,1,03/04/2021 02:10,T-Mobile Park,Seattle Mariners,San Francisco Giants,3 - 6
21,1,03/04/2021 17:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,5 - 3
22,1,03/04/2021 17:10,Fenway Park,Boston Red Sox,Baltimore Orioles,2 - 4
23,1,03/04/2021 17:10,Comerica Park,Detroit Tigers,Cleveland Indians,5 - 2
24,1,03/04/2021 18:10,Kauffman Stadium,Kansas City Royals,Texas Rangers,11 - 4
25,1,03/04/2021 18:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,5 - 1
26,1,03/04/2021 20:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,4 - 0
27,1,03/04/2021 20:07,Oakland Coliseum,Oakland Athletics,Houston Astros,1 - 9
28,1,03/04/2021 20:10,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,9 - 6
29,1,03/04/2021 22:10,loanDepot park,Miami Marlins,Tampa Bay Rays,12 - 7
30,1,03/04/2021 23:10,American Family Field,Milwaukee Brewers,Minnesota Twins,0 - 2
